date,command,MAP,date_error,data_error,tape,file,phy_record,log_record
1969-07-21T04:42:45.618000Z,9,1,-,-,1,1,2,69
1969-07-21T04:43:32.109000Z,9,1,-,-,1,1,2,46
1969-07-21T05:17:18.994000Z,3,1,-,-,1,1,14,63
1969-07-21T05:17:44.352000Z,3,1,-,-,1,1,15,35
1969-07-21T05:33:01.525000Z,12,1,-,-,1,1,20,44
1969-07-21T05:36:09.864000Z,14,1,-,-,1,1,22,16
1969-07-21T05:38:54.704000Z,6,1,-,-,1,1,23,19
1969-07-21T05:47:06.812000Z,14,1,-,-,1,1,26,17
1969-07-21T05:56:43.418000Z,6,1,-,-,1,1,29,62
1969-07-21T05:58:20.593000Z,14,1,-,-,1,1,30,53
1969-07-21T06:00:52.141000Z,7,1,-,-,1,1,31,34
1969-07-21T06:03:47.268000Z,14,1,-,-,1,1,32,54
1969-07-21T06:07:01.049000Z,7,1,-,-,1,1,33,05
1969-07-21T06:08:54.589000Z,6,1,-,-,1,1,34,23
1969-07-21T06:09:54.324000Z,6,1,-,-,1,1,34,22
1969-07-21T06:13:47.388000Z,15,1,-,-,1,1,35,38
1969-07-21T06:14:13.343000Z,11,1,-,-,1,1,36,11
1969-07-21T06:17:32.628000Z,8,1,-,-,1,1,37,71
1969-07-21T06:26:55.310000Z,15,1,-,-,1,1,40,79
1969-07-21T06:38:50.783000Z,8,1,-,-,1,1,45,14
1969-07-21T06:41:33.198000Z,11,1,-,-,1,1,46,13
1969-07-21T06:43:35.195000Z,7,1,-,-,1,1,46,15
1969-07-21T06:44:53.652000Z,7,1,-,-,1,1,47,75
1969-07-21T06:46:37.503000Z,13,1,-,-,1,1,47,47
1969-07-21T06:48:32.816000Z,12,1,-,-,1,1,48,68
1969-07-21T06:50:08.816000Z,12,1,-,-,1,1,49,57
1969-07-21T06:52:41.574000Z,12,1,-,-,1,1,50,40
1969-07-21T06:57:16.894000Z,13,1,-,-,1,1,51,26
1969-07-21T06:58:20.895000Z,13,1,-,-,1,1,52,62
1969-07-21T07:03:45.118000Z,4,1,-,-,1,1,54,59
