filename,correction


#leap correction
pse.a11.1.1.S11.3.1969.202.09_50_59_811000.csv.gz,0.6
pse.a11.1.1.S11.3.1969.202.09_56_07_737000.csv.gz,0.6
pse.a11.1.1.S11.3.1969.202.09_59_27_013000.csv.gz,0.6
pse.a11.1.1.S11.3.1969.202.10_03_04_369000.csv.gz,0.6
pse.a11.1.1.S11.3.1969.202.10_10_19_085000.csv.gz,0.6
pse.a11.1.1.S11.3.1969.202.10_13_06_893000.csv.gz,0.6
pse.a11.1.1.S11.3.1969.202.10_15_31_798000.csv.gz,0.6
pse.a11.1.1.S11.3.1969.202.10_42_41_983000.csv.gz,0.6
pse.a11.1.1.S11.3.1969.202.11_08_39_714000.csv.gz,0.6
pse.a11.1.1.S11.3.1969.202.11_14_17_255000.csv.gz,0.6
pse.a11.1.1.S11.3.1969.202.11_18_12_724000.csv.gz,0.6
pse.a11.1.1.S11.3.1969.202.11_20_55_712000.csv.gz,0.6
pse.a11.1.1.S11.3.1969.202.11_29_04_797000.csv.gz,0.6
pse.a11.1.1.S11.3.1969.202.11_31_29_660000.csv.gz,0.6
pse.a11.1.1.S11.3.1969.202.11_39_20_643000.csv.gz,0.6
pse.a11.1.1.S11.3.1969.202.11_45_59_099000.csv.gz,0.6
pse.a11.1.1.S11.3.1969.202.11_58_21_734000.csv.gz,0.6
pse.a11.1.1.S11.3.1969.202.12_01_57_884000.csv.gz,0.6
pse.a11.1.1.S11.3.1969.202.12_47_32_969000.csv.gz,0.6
pse.a11.1.1.S11.3.1969.202.12_51_21_828000.csv.gz,0.6
pse.a11.1.1.S11.3.1969.202.12_56_11_034000.csv.gz,0.6
pse.a11.1.1.S11.3.1969.202.13_00_42_731000.csv.gz,0.6
pse.a11.1.1.S11.3.1969.202.13_03_07_599000.csv.gz,0.6
pse.a11.1.1.S11.3.1969.202.13_20_38_166000.csv.gz,0.6
pse.a11.1.1.S11.3.1969.202.13_23_21_181000.csv.gz,0.6
pse.a11.1.1.S11.3.1969.202.13_29_59_667000.csv.gz,0.6
pse.a11.1.1.S11.3.1969.202.13_35_07_626000.csv.gz,0.6

pse.a11.1.1.S11.11.1969.202.19_14_43_044000.csv.gz,0.6

pse.a11.1.1.S11.11.1969.202.19_38_15_870000.csv.gz,0.6
pse.a11.1.1.S11.11.1969.202.21_51_05_674000.csv.gz,0.6
pse.a11.1.1.S11.11.1969.202.22_15_32_848000.csv.gz,0.6
pse.a11.1.1.S11.11.1969.202.22_28_49_830000.csv.gz,0.6
pse.a11.1.1.S11.11.1969.202.22_33_39_640000.csv.gz,0.6
pse.a11.1.1.S11.11.1969.202.22_44_49_833000.csv.gz,0.6
pse.a11.1.1.S11.11.1969.202.22_48_27_192000.csv.gz,0.6
pse.a11.1.1.S11.11.1969.202.23_14_06_817000.csv.gz,0.6
pse.a11.1.1.S11.11.1969.202.23_17_07_950000.csv.gz,0.6
pse.a11.1.1.S11.11.1969.202.23_20_09_082000.csv.gz,0.6
pse.a11.1.1.S11.11.1969.202.23_25_17_010000.csv.gz,0.6
pse.a11.1.1.S11.11.1969.202.23_27_41_914000.csv.gz,0.6
pse.a11.1.1.S11.11.1969.202.23_31_01_160000.csv.gz,0.6
pse.a11.1.1.S11.11.1969.202.23_35_32_861000.csv.gz,0.6
pse.a11.1.1.S11.11.1969.202.23_37_57_766000.csv.gz,0.6
pse.a11.1.1.S11.11.1969.202.23_41_17_012000.csv.gz,0.6
pse.a11.1.1.S11.11.1969.202.23_47_01_166000.csv.gz,0.6

pse.a11.1.1.S11.11.1969.203.00_00_00_036000.csv.gz,0.6
pse.a11.1.1.S11.11.1969.203.00_05_07_962000.csv.gz,0.6
pse.a11.1.1.S11.11.1969.203.00_44_40_805000.csv.gz,0.6

#pse.a11.1.1.S11.1.1969.203.01_03_58_246000.csv.gz,0.6

#pse.a11.1.3.S11.9.1969.203.14_14_51_196000.csv.gz,0.6

pse.a11.1.16.S11.3.1969.232.00_00_00_062000.csv.gz,0.6
pse.a11.1.16.S11.3.1969.232.00_19_06_620000.csv.gz,0.6
pse.a11.1.16.S11.3.1969.232.01_01_07_359000.csv.gz,0.6
pse.a11.1.16.S11.3.1969.232.01_07_09_621000.csv.gz,0.6
pse.a11.1.16.S11.3.1969.232.01_40_06_367000.csv.gz,0.6
pse.a11.1.16.S11.3.1969.232.01_44_03_045000.csv.gz,0.6
pse.a11.1.16.S11.3.1969.232.01_51_02_667000.csv.gz,0.6
pse.a11.1.16.S11.3.1969.232.02_18_26_133000.csv.gz,0.6
pse.a11.1.16.S11.3.1969.232.02_35_12_018000.csv.gz,0.6
pse.a11.1.16.S11.3.1969.232.02_49_50_507000.csv.gz,0.6
pse.a11.1.16.S11.3.1969.232.02_56_03_639000.csv.gz,0.6
pse.a11.1.16.S11.3.1969.232.03_49_30_278000.csv.gz,0.6

pse.a11.1.16.S11.5.1969.231.06_19_45_074000.csv.gz,0.6
pse.a11.1.16.S11.5.1969.231.06_53_39_726000.csv.gz,0.6
