filename,comment


# new section
pse.a14.2.56.S14.12.1971.272.04_14_41_015000.csv.gz,"another station"
pse.a14.2.56.S14.12.1971.272.04_17_54_816000.csv.gz,"another station"

pse.a15.1.12.S15.5.1971.223.22_50_59_444000.csv.gz,"another station"

pse.a15.1.131.S15.5.1971.342.22_44_47_953000.csv.gz,"won't merge"

pse.a15.1.141.S15.4.1971.352.23_12_40_956000.csv.gz,"won't merge"

pse.a12.6.23.S12.2.1972.255.12_28_29_860000.csv.gz
pse.a12.6.23.S12.2.1972.255.13_30_05_136000.csv.gz
pse.a12.6.23.S12.2.1972.255.13_33_11_067000.csv.gz

pse.a14.3.91.S14.12.1972.119.05_59_59_762000.csv.gz,"divergence large"

pse.a14.4.104.S14.5.1972.305.19_44_33_543000.csv.gz,"another station"

pse.a14.4.134.S14.4.1972.335.17_44_00_054000.csv.gz

pse.a14.4.18.S14.13.1972.220.11_02_02_359000.csv.gz,"S12"

pse.a14.4.44.S14.14.1972.245.22_57_21_329000.csv.gz,"S16"
pse.a14.4.44.S14.14.1972.245.22_51_42_031000.csv.gz,"S16"

pse.a14.4.77.S14.12.1972.279.14_15_47_866000.csv.gz,"damaged data"
pse.a14.4.77.S14.12.1972.279.17_18_37_132000.csv.gz,"damaged data"
pse.a14.4.78.S14.12.1972.279.17_59_48_634000.csv.gz,"damaged data"
pse.a14.4.78.S14.3.1972.279.21_56_33_375000.csv.gz,"damaged data"

pse.a15.2.105.S15.13.1972.132.09_10_00_084000.csv.gz,"only a few records, may not be correct"

pse.a15.2.134.S15.14.1972.161.02_30_03_190000.csv.gz,"S16"


pse.a15.2.137.S15.13.1972.164.07_35_46_122000.csv.gz,"S12"

pse.a15.3.20.S15.2.1972.225.12_11_39_199000.csv.gz,"S16"

pse.a15.3.2.S15.10.1972.207.03_57_22_401000.csv.gz
pse.a15.3.2.S15.10.1972.207.04_19_41_680000.csv.gz
pse.a15.3.2.S15.10.1972.207.05_29_53_036000.csv.gz
pse.a15.3.2.S15.10.1972.207.06_39_54_178000.csv.gz
pse.a15.3.2.S15.10.1972.207.08_23_22_430000.csv.gz
pse.a15.3.2.S15.10.1972.207.09_57_19_375000.csv.gz
pse.a15.3.2.S15.10.1972.207.10_31_15_958000.csv.gz
pse.a15.3.2.S15.10.1972.207.10_33_32_323000.csv.gz
pse.a15.3.2.S15.5.1972.207.13_08_54_988000.csv.gz
pse.a15.3.2.S15.5.1972.207.13_51_35_204000.csv.gz
pse.a15.3.2.S15.5.1972.207.13_56_03_098000.csv.gz
pse.a15.3.2.S15.4.1972.207.13_59_44_245000.csv.gz

pse.a16.1.98.S16.5.1972.210.13_22_28_048000.csv.gz,"timing wrong somewhere in this section"

pse.a15.3.20.S15.2.1972.225.12_11_39_199000.csv.gz,"another station"

pse.a16.1.140.S16.13.1972.252.12_48_00_873000.csv.gz,"timing wrong somewhere in this section"

pse.a16.2.34.S16.5.1972.315.04_02_59_299000.csv.gz,"S12"

pse.a16.12.29.S16.3.1972.343.05_20_03_399000.csv.gz,"timing wrong somewhere in this section"
pse.a16.12.29.S16.9.1972.343.11_54_33_467000.csv.gz,"overlaps that don't match"

# 1973

pse.a12.6.256.S12.11.1973.122.18_29_47_779000.csv.gz,"unable to merge"

