t1,t2,station,channel,location
1969-07-20T14:23:00Z,1969-08-22T23:53:45.854547Z,S11,MH1,00
1969-11-19T14:23:00Z,1977-09-30T23:53:45.854547Z,S12,MH1,00
1971-02-05T17:44Z,1977-09-30T23:00:03.514925Z,S14,MH2,01
1971-07-31T18:50Z,1977-09-30T23:53:45.816547Z,S15,MHZ,00
1972-04-21T20:20Z,1977-09-30T23:00:03.429925Z,S16,SHZ,
