t1,t2,station,channel,location
1973-05-13T00:00:00.312274Z,1973-05-14T00:00:02.576425Z,S12,MHZ,00
1973-05-13T00:00:00.274274Z,1973-05-14T00:00:02.538425Z,S12,MH1,00
1973-05-13T00:00:00.293274Z,1973-05-14T00:00:02.557425Z,S12,MH2,00
1973-05-13T02:40:12.069191Z,1973-05-14T00:00:06.484285Z,S14,MH1,00
1973-05-13T02:40:12.088191Z,1973-05-14T00:00:06.503285Z,S14,MH2,00
1973-05-13T02:40:12.003191Z,1973-05-14T00:00:06.550361Z,S14,SHZ,
1973-05-13T00:00:00.498000Z,1973-05-14T00:00:05.177245Z,S15,MHZ,00
1973-05-13T00:00:00.460000Z,1973-05-14T00:00:05.139245Z,S15,MH1,00
1973-05-13T00:00:00.479000Z,1973-05-14T00:00:05.158245Z,S15,MH2,00
1973-05-13T00:00:00.394000Z,1973-05-14T00:00:05.205321Z,S15,SHZ,
1973-05-13T00:00:00.300000Z,1973-05-14T00:00:04.979245Z,S16,MHZ,00
1973-05-13T00:00:00.262000Z,1973-05-14T00:00:04.941245Z,S16,MH1,00
1973-05-13T00:00:00.281000Z,1973-05-14T00:00:04.960245Z,S16,MH2,00
1973-05-13T00:00:00.196000Z,1973-05-14T00:00:05.007321Z,S16,SHZ,
1973-05-14T00:00:00.397000Z,1973-05-15T00:00:02.661151Z,S12,MHZ,00
1973-05-14T00:00:00.359000Z,1973-05-15T00:00:02.623151Z,S12,MH1,00
1973-05-14T00:00:00.378000Z,1973-05-15T00:00:02.642151Z,S12,MH2,00
1973-05-14T00:00:00.256000Z,1973-05-14T23:58:00.557887Z,S14,MH1,00
1973-05-14T00:00:00.275000Z,1973-05-14T23:58:00.576887Z,S14,MH2,00
1973-05-14T00:00:00.190000Z,1973-05-14T23:58:00.623962Z,S14,SHZ,
1973-05-14T00:00:00.442000Z,1973-05-14T23:59:44.140113Z,S15,MHZ,00
1973-05-14T00:00:00.404000Z,1973-05-14T23:59:44.102113Z,S15,MH1,00
1973-05-14T00:00:00.423000Z,1973-05-14T23:59:44.121113Z,S15,MH2,00
1973-05-14T00:00:00.338000Z,1973-05-14T23:59:44.036113Z,S15,SHZ,
1973-05-14T00:00:00.569000Z,1973-05-14T23:59:43.059566Z,S16,MHZ,00
1973-05-14T00:00:00.531000Z,1973-05-14T23:59:43.021566Z,S16,MH1,00
1973-05-14T00:00:00.550000Z,1973-05-14T23:59:43.040566Z,S16,MH2,00
